interval,track,vector,status,confidence
23,GLM-5.2,"needle-in-haystack, reward-hacking, repo-scale context stress",designed-not-live-benchmarked,2
23,Anthropic Mythos/Fable 5,"sovereign-AI substitution, open-weight alternatives, policy durability and rollback signals",verified-policy-event-tracked,3
24,GLM-5.2,"needle-in-haystack, reward-hacking, repo-scale context stress",designed-not-live-benchmarked,2
24,Anthropic Mythos/Fable 5,"sovereign-AI substitution, open-weight alternatives, policy durability and rollback signals",verified-policy-event-tracked,3
25,GLM-5.2,"needle-in-haystack, reward-hacking, repo-scale context stress",designed-not-live-benchmarked,2
25,Anthropic Mythos/Fable 5,"sovereign-AI substitution, open-weight alternatives, policy durability and rollback signals",verified-policy-event-tracked,3
26,GLM-5.2,"needle-in-haystack, reward-hacking, repo-scale context stress",designed-not-live-benchmarked,2
26,Anthropic Mythos/Fable 5,"sovereign-AI substitution, open-weight alternatives, policy durability and rollback signals",verified-policy-event-tracked,3
27,GLM-5.2,"needle-in-haystack, reward-hacking, repo-scale context stress",designed-not-live-benchmarked,2
27,Anthropic Mythos/Fable 5,"sovereign-AI substitution, open-weight alternatives, policy durability and rollback signals",verified-policy-event-tracked,3
28,GLM-5.2,"needle-in-haystack, reward-hacking, repo-scale context stress",designed-not-live-benchmarked,2
28,Anthropic Mythos/Fable 5,"sovereign-AI substitution, open-weight alternatives, policy durability and rollback signals",verified-policy-event-tracked,3
29,GLM-5.2,"needle-in-haystack, reward-hacking, repo-scale context stress",designed-not-live-benchmarked,2
29,Anthropic Mythos/Fable 5,"sovereign-AI substitution, open-weight alternatives, policy durability and rollback signals",verified-policy-event-tracked,3
30,GLM-5.2,"needle-in-haystack, reward-hacking, repo-scale context stress",designed-not-live-benchmarked,2
30,Anthropic Mythos/Fable 5,"sovereign-AI substitution, open-weight alternatives, policy durability and rollback signals",verified-policy-event-tracked,3
